# CVSO    ID_SIMBAD                                                    typ   RA_J2000      DEC_J2000     RA           DEC          LR_INST   SpN    SpT    WHa      WLiI    W8183    W8195    EW_NaI   HR_INST   FILT    Ha_Hi     WHa_Hi    WHa10    LiI_Hi   WLiI_Hi   Vrad     Vr_err   R        V        errV     Nv    Rc       errRc    Nr   Ic       errIc    Ni    AmpV     AmpR     AmpI     Vstd     Rstd     Istd     Vprob      Rprob      Iprob      Lvr      Lvi      Lri      SDSS_u     SDSS_u_err   SDSS_g     SDSS_g_err    SDSS_r     SDSS_r_err    SDSS_i     SDSS_i_err    SDSS_z     SDSS_z_err    Sep_SDSS               J        errJ    H        errH    Ks       errKs   ph_qual   cc_flg   Sep_2MASS   ID_VISTA   ra_vista        dec_vista          magZ      emagZ        magY      emagY        magJ      emagJ        magH      emagH        magK      emagK        Sep_VISTA              ra_irac      dec_irac      RAJ2000_mips   DECJ2000_mips   m36       err36        m45       err45        m58       err58        m8        err8         mag24    m24_err   flux24    errflux24   Sep_IRAC              Sep_MIPS               ID_WISE                ra_wise             dec_wise              sigra_wise   sigdec_wise   pmra_cone   sigpmra   pmdec   sigpmdec   mjdmean        w1mpro   w1sigmpro   w1snr   w2mpro   w2sigmpro   w2snr   w3mpro   w3sigmpro   w3snr   w4mpro   w4sigmpro   w4snr   ph_qual_cone   ext_flg   var_flg   Sep_WISE               UCAC4        RAJ2000      e_RAJ2000   DEJ2000      e_DEJ2000   pmRA    e_pmRA   pmDE    e_pmDE   Bmag     e_Bmag   Vmag     e_Vmag   gmag     e_gmag   rmag     e_rmag   imag     e_imag   Sep_UCAC4              ID_PACS      X70        Y70        FLUX70    errf70   mag70    merr70   X160       Y160       FLUX160   errf160   mag160   merr160   Sep_PACS                Binarity   Bin_Obs    Bin_ObsDate                        Bin-Sep   T_CB   Loc      d    
  603     --                                                           ---   05:23:15.15   +01:46:47.5   80.8131349   1.7798609    HSP       71.0   M3     -0.56    0.31    1.28     1.45     2.73     ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   19.237   0.006    10    18.325   0.057    57   16.68    0.033    81    0.415    0.305    0.562    0.133    0.058    0.113    0.505      0.912      0.0        -0.254   0.387    0.262    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     15.387   0.073   14.662   0.067   14.501   0.103   AAA       000      0.093171    3744853    80.8131387566   1.77981632895      16.3539   0.00332272   15.8765   0.0036708    15.3838   0.0042635    14.8341   0.00446912   14.5926   0.00974471   0.1610547428046179     80.8131741   1.7799113     ""             ""              14.259    0.011        14.241    0.018        14.329    0.088        14.317    0.215        ""       ""        ""        ""          ""                    0.22981757076552764    0801p015_ac51-047112   80.8131452          1.7798041             0.0717       0.0723        184         185       205     200        55333.82253    14.42    0.031       35.1    14.366   0.052       20.9    12.171   ""          0.9     8.811    ""          0.6     AAUU           0         00nn      0.20781162254674784    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  604     --                                                           ---   05:23:15.52   +01:21:14.6   80.8146476   1.3540567    HSP       71.0   M3     -12.0    0.6     0.945    1.004    1.949    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   17.795   0.006    54    16.661   0.02     48   14.914   0.028    127   0.466    0.289    0.31     0.096    0.07     0.066    7.26E-8    0.0        3.18E-32   2.041    0.689    0.714    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.56    0.03    12.911   0.025   12.618   0.024   AAA       000      0.189891    3741537    80.8146630061   1.3540521407       14.5506   0.00141894   14.0      0.00134995   13.4981   0.00173827   12.9316   0.0017623    12.6603   0.00329149   0.057824853478112705   80.8147471   1.354037      05:23:15.48    +01:21:14.7     12.017    0.004        999.0     999.0        11.524    0.012        999.0     999.0        9.311    0.042     1.378     0.0         0.8318362642518263    0.36505511956189146    0801p015_ac51-022297   80.8146896          1.3540184             0.0418       0.0402        93          54        59      57         55343.059807   12.251   0.024       44.7    11.842   0.023       47.4    10.408   0.078       13.9    8.918    0.481       2.3     AAAC           0         891n      0.2045961115359663     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       CW     25Ori    354  
  605     2MASS_J05231711+0152534                                      Y*O   05:23:17.12   +01:52:53.7   80.8213231   1.8815776    HYD       71.5   M3.5   -2.1     0.2     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   17.538   0.007    116   16.516   0.021    75   14.848   0.015    86    0.279    0.16     0.107    0.043    0.029    0.018    0.998      0.0318     0.813      -0.27    0.16     0.5      ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.557   0.031   12.849   0.024   12.648   0.035   AAA       000      0.241507    3741551    80.8213000461   1.88152656768      14.4766   0.00137086   14.007    0.00135451   13.516    0.00175277   12.9399   0.00176904   12.6962   0.00335165   0.20157451022347206    80.8213313   1.8815055     ""             ""              12.428    0.004        12.367    0.006        12.341    0.02         12.454    0.035        ""       ""        ""        ""          ""                    0.26123147701367333    0801p015_ac51-046911   80.8213046          1.881527              0.0446       0.0417        14          71        24      77         55345.757477   12.534   0.024       45.6    12.36    0.024       44.5    12.154   ""          0.8     8.382    ""          1.1     AAUU           0         00nn      0.1939408258419529     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  606     --                                                           ---   05:23:21.73   -01:47:59.0   80.8405608   -1.7997255   HSP       71.0   M3     -16.0    0.3     1.093    1.143    2.236    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   17.993   0.018    46    16.864   0.024    51   15.122   0.017    47    0.509    0.425    0.165    0.082    0.063    0.038    0.769      5.44E-8    8.48E-10   1.326    0.981    1.292    21.52692   0.1030979    18.86399   0.01880795    17.41632   0.01385939    15.93108   0.0163941     15.11229   0.01630678    0.14111065444648166    13.6     0.024   12.971   0.029   12.647   0.026   AAA       000      0.035138    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801m016_ac51-020411   80.8405888          -1.7996952            0.0425       0.04          108         56        126     58         55338.412111   12.338   0.024       44.8    12.005   0.023       47.5    10.619   0.094       11.5    8.657    0.364       3.0     AAAC           0         440n      0.14848927496793407    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       CW     1a       330  
  607     --                                                           ---   05:23:21.87   +01:58:34.4   80.8411226   1.9762348    FAST      68.0   M0     -1.65    0.3     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.784   0.008    114   14.845   0.015    74   13.77    0.015    85    0.361    0.294    0.132    0.057    0.047    0.035    0.0        0.0        8.52E-24   2.783    2.083    2.895    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.708   0.027   12.011   0.024   11.823   0.021   AAA       000      0.34642     3740840    80.8410857221   1.97615237178      13.4958   8.70285E-4   13.1539   8.97356E-4   12.6762   0.00118644   12.1175   0.00120345   11.863    0.00222149   0.32505376086502064    80.841107    1.9761627     ""             ""              -100.0    10.0         11.7095   0.00486823   -100.0    10.0         11.6374   0.0318253    ""       ""        ""        ""          ""                    0.2655590115737188     0801p015_ac51-046938   80.8411023          1.9761574             0.0416       0.0392        20          56        19      56         55339.307755   11.722   0.023       46.2    11.69    0.022       48.6    11.57    0.22        4.9     8.782    ""          0.4     AABU           0         00nn      0.2880530941376789     460-010109   80.8411156   79          1.9761573    44          1.4     4.0      -3.6    3.7      17.328   0.13     15.735   0.02     16.491   0.08     15.103   0.04     14.382   0.06     0.280134404948782      ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  608     --                                                           ---   05:23:21.99   +03:44:56.1   80.8416405   3.748906     FAST      68.5   M0.5   -5.2     0.5     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.812   0.038    35    14.792   0.018    33   14.055   0.022    10    0.314    0.29     -999.0   0.083    0.086    -999.0   0.0        0.0        -999.0     5.815    5.879    5.724    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.302   0.024   11.565   0.023   11.388   0.023   AAA       000      0.168766    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801p030_ac51-049176   80.8416546          3.748861              0.0409       0.0382        0           47        0       50         55347.714896   11.249   0.023       46.7    11.168   0.022       49.6    11.044   0.138       7.9     9.047    ""          -0.6    AABU           0         11nn      0.16973379941527109    469-010480   80.8416459   38          3.7488506    28          0.6     5.4      -4.3    5.0      16.941   0.01     15.455   0.01     16.286   0.03     14.838   0.05     14.125   0.04     0.20038116581940654    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  609     2MASS_J05232262+0128536                                      Y*O   05:23:22.63   +01:28:53.8   80.8442838   1.4816071    HSP       73.0   M5     -9.6     0.9     0.889    1.279    2.168    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   19.275   0.011    6     18.005   0.043    33   15.88    0.03     73    0.229    0.481    0.365    0.075    0.088    0.052    0.887      0.268      0.216      0.358    0.184    0.206    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     14.192   0.033   13.554   0.031   13.279   0.032   AAA       000      0.153194    3742236    80.8442967965   1.48158667809      15.4076   0.0021179    14.7218   0.00194133   14.1182   0.00232402   13.6458   0.00247585   13.3588   0.0047352    0.08713565564689596    80.8443352   1.4815632     ""             ""              12.974    0.006        12.926    0.008        12.799    0.029        12.838    0.049        ""       ""        ""        ""          ""                    0.2432972531312616     0801p015_ac51-024900   80.8443146          1.4815826             0.0481       0.0466        25          85        108     91         55352.650199   13.151   0.026       42.4    12.939   0.027       39.6    12.22    0.432       2.5     9.015    ""          -0.9    AACU           0         00nn      0.14165237487636875    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  610     --                                                           ---   05:23:23.25   -00:27:14.1   80.846863    -0.453926    HSP       71.0   M3     -5.3     0.2     0.862    0.974    1.836    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   16.785   0.015    15    -999.0   -999.0   0    14.257   0.02     4     0.274    -999.0   0.025    0.066    -999.0   0.01     5.75E-8    9.0        0.902      0.743    0.619    0.0      20.04744   0.03945443   17.62404   0.01259356    16.21472   0.01083431    15.00589   0.01094489    14.31591   0.01973706    0.9331448231423893     12.96    0.028   12.268   0.024   12.023   0.026   AAA       000      0.963332    3307108    80.847072488    -0.453783862037    13.8222   0.00100992   13.4142   9.8739E-4    12.8659   0.00186155   12.2814   0.00180032   12.0539   0.00248007   0.9113453085190418     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801p000_ac51-020790   80.8470797          -0.4537854            0.0412       0.039         48          58        27      60         55351.135641   11.896   0.024       44.8    11.76    0.022       50.3    11.48    0.19        5.7     9.163    0.532       2.0     AABC           0         00nn      0.9299177243205361     448-009959   80.8471      138         -0.4538145   139         4.2     6.0      -2.6    6.1      17.874   0.19     16.667   0.01     17.487   0.13     16.202   0.04     14.879   0.11     0.9428820295574951     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  611     2MASS_J05232488+0144347                                      Y*O   05:23:24.89   +01:44:34.9   80.8537032   1.7430378    HYD       72.0   M4     -4.9     0.9     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   18.275   0.003    94    17.03    0.026    68   15.087   0.016    77    0.725    0.192    0.422    0.087    0.038    0.054    0.721      0.0198     3.08E-15   0.104    0.135    0.377    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.484   0.032   12.865   0.027   12.581   0.027   AAA       000      0.26229     3741527    80.8536697      1.74297378702      14.6414   0.00148011   14.0663   0.0013947    13.4895   0.00173122   12.9391   0.00176844   12.7301   0.00340973   0.2600703722869434     80.8536493   1.7429467     ""             ""              12.317    0.004        12.291    0.006        12.32     0.019        12.129    0.027        ""       ""        ""        ""          ""                    0.38101765042069324    0801p015_ac51-046910   80.8536912          1.7429826             0.0456       0.0433        64          72        53      74         55353.057547   12.485   0.024       45.3    12.295   0.025       43.4    11.958   ""          1.2     8.663    ""          0.0     AAUU           0         00nn      0.2033572025118874     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  612     --                                                           ---   05:23:24.96   +01:46:08.8   80.8540006   1.7691001    HSP       70.5   M2.5   -20.38   0.756   0.61     1.38     1.99     ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   -999.0   -999.0   0     18.84    0.082    53   16.613   0.031    78    -999.0   0.471    1.474    -999.0   0.094    0.275    -999.0     0.381      0.0        0.0      0.0      0.627    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     14.748   0.041   14.197   0.048   13.756   0.054   AAA       000      0.237977    3743497    80.8540435895   1.76904596083      16.2101   0.00310025   15.4949   0.0029439    14.8371   0.00326955   14.2291   0.00329088   13.7961   0.00603053   0.24882708169051035    80.8538763   1.7692358     05:23:24.94    +01:46:09.4     13.147    0.006        12.668    0.007        12.374    0.02         11.872    0.025        9.435    0.046     1.229     0.0         0.14960221071193652   0.6623437826990055     0801p015_ac51-046941   80.8540518          1.769056              0.0471       0.0454        132         79        140     84         55330.239077   13.065   0.025       43.6    12.476   0.026       42.5    11.047   0.165       6.6     8.625    0.418       2.6     AABC           0         11nn      0.24319996204744834    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       C      25Ori    354  
  613     2MASS_J05232687+0135599                                      Y*O   05:23:26.86   +01:35:59.9   80.8619083   1.5999678    HSP       71.0   M3     -5.1     0.2     1.245    1.294    2.539    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   17.729   0.011    75    16.633   0.022    51   15.05    0.016    65    0.262    0.218    0.257    0.045    0.034    0.038    0.982      0.284      0.00137    0.181    -0.065   0.534    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.698   0.03    13.11    0.025   12.856   0.033   AAA       000      0.28802     3741743    80.8619943068   1.59999718993      14.7071   0.00152605   14.2266   0.00151007   13.7083   0.00191743   13.1322   0.00193748   12.9188   0.00375553   0.32708869356202264    80.8619354   1.5999379     ""             ""              999.0     999.0        999.0     999.0        999.0     999.0        12.713    0.044        ""       ""        ""        ""          ""                    0.14524773066427005    0801p015_ac51-024874   80.8619933          1.5999905             0.0463       0.0444        -34         97        134     97         55360.88166    12.741   0.025       43.7    12.611   0.025       43.1    12.025   ""          0.8     8.396    ""          1.2     AAUU           0         11nn      0.3166088438617195     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  614     2MASS_J05233090+0151185                                      Y*O   05:23:30.91   +01:51:18.8   80.878788    1.8552274    FAST      68.0   M0     -3.6     0.5     -999.0   -999.0   -999.0   HCH       OB25    6562.98   -3.448    266.4    -999.0   -999.0    12.61    3.7      8.6      14.847   0.015    111   14.045   0.015    62   13.197   0.018    50    0.488    0.375    0.368    0.136    0.117    0.083    0.0        0.0        0.0        9.922    8.145    6.661    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.115   0.028   11.416   0.024   11.258   0.027   AAA       000      0.278184    3740574    80.8787537536   1.85518658503      13.0409   7.05343E-4   12.751    7.41662E-4   12.1958   9.49956E-4   11.7886   0.00103275   11.2678   0.00167133   0.191763741643602      80.8787968   1.8552667     ""             ""              11.085    0.002        11.126    0.003        11.124    0.009        11.042    0.012        ""       ""        ""        ""          ""                    0.14497986375698854    0801p015_ac51-046868   80.8787697          1.8551647             0.0416       0.0381        56          51        -24     52         55329.714358   11.156   0.023       46.8    11.103   0.022       49.4    11.102   0.145       7.5     8.25     ""          1.7     AABU           0         22nn      0.23512793127976778    460-010128   80.878773    61          1.8551706    41          2.7     5.4      0.6     5.5      16.283   0.17     14.976   0.09     15.729   0.16     14.438   0.06     13.839   0.07     0.21148289357521316    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      NO         NACO       2010-12-23                         0.0       W      25Ori    354  
  615     2MASS_J05233275+0125273                                      Y*O   05:23:32.76   +01:25:27.5   80.8864935   1.4242995    HSP       73.0   M5     -10.9    0.3     0.985    1.406    2.391    HCH       OB25    6563.11   -9.653    152.5    -999.0   -999.0    18.2     3.43     3.9      18.659   0.006    25    17.368   0.028    41   15.314   0.028    103   0.256    0.135    0.389    0.061    0.032    0.045    0.999      0.66       0.892      0.095    -0.058   -0.009   22.61622   0.3706362    19.45662   0.01670493    18.0015    0.01495905    16.24787   0.01437859    15.30155   0.01522828    0.1405311198767741     13.716   0.029   13.111   0.023   12.866   0.029   AAA       000      0.140076    3741685    80.8864644984   1.42426463724      14.8668   0.00164403   14.2216   0.00150638   13.6557   0.00187099   13.165    0.00196791   12.8893   0.00369903   0.16323470273561136    80.8865116   1.4242667     ""             ""              12.495    0.005        12.477    0.006        12.437    0.02         12.415    0.034        ""       ""        ""        ""          ""                    0.1348558077021255     0801p015_ac51-024871   80.8864851          1.4242533             0.0439       0.0421        48          72        27      72         55348.263037   12.664   0.024       45.3    12.415   0.025       44.1    11.905   ""          1.9     8.959    ""          0.1     AAUU           0         00nn      0.16904506807340314    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  616     2MASS_J05233288+0144126                                      Y*O   05:23:32.89   +01:44:12.9   80.8870546   1.7369109    HSP       68.0   M0     -2.1     0.4     0.931    0.984    1.915    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.581   0.006    114   14.607   0.015    68   13.567   0.013    76    0.27     0.202    0.121    0.039    0.033    0.027    2.8E-45    4.9E-6     5.77E-16   0.652    3.049    1.663    ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.459   0.027   11.748   0.023   11.548   0.025   AAA       000      0.267544    3740693    80.8870334423   1.73685450714      13.2616   7.78683E-4   12.8874   7.89945E-4   12.4435   0.00106524   11.6212   8.57358E-4   11.601    0.00195862   0.21682019331169244    80.8870778   1.7368535     ""             ""              11.397    0.003        11.418    0.004        11.39     0.011        11.367    0.013        ""       ""        ""        ""          ""                    0.22286603978644706    0801p015_ac51-046873   80.8870315          1.7368508             0.0412       0.0391        83          50        -12     54         55344.054383   11.443   0.024       46.1    11.414   0.022       50.1    11.171   0.166       6.5     8.974    ""          -0.7    AABU           0         11nn      0.23177765642736414    459-010137   80.8870362   35          1.7368473    59          -0.3    5.1      -1.9    5.3      16.946   0.04     15.497   0.05     16.319   0.09     14.904   0.04     14.156   0.07     0.23834090774466782    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  617     --                                                           ---   05:23:34.30   -01:57:09.8   80.8929102   -1.9527255   FAST      68.0   M0     -3.05    0.5     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.132   0.038    76    14.284   0.018    71   13.289   0.053    5     0.171    0.398    -999.0   0.039    0.055    -999.0   1.98E-31   2.64E-28   -999.0     2.248    2.341    1.955    18.52312   0.02107608   15.95222   0.01738089    14.59467   0.01340935    14.00233   9.471494E-4   13.50911   0.01608271    0.10417981403872448    12.238   0.022   11.555   0.022   11.377   0.019   AAA       000      0.060043    ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801m016_ac51-020396   80.8929084          -1.9526913            0.0401       0.0375        -19         46        80      49         55344.837018   11.34    0.024       46.0    11.295   0.021       51.5    11.136   0.125       8.7     9.186    ""          0.0     AABU           0         000n      0.12329021066800058    441-009845   80.8929256   22          -1.9526956   23          3.3     3.3      1.7     3.6      16.704   0.02     15.32    0.04     16.056   0.07     14.762   0.04     14.036   0.05     0.12106359694619244    ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  618     --                                                           ---   05:23:34.54   -02:02:52.2   80.8939075   -2.0478229   FAST      68.0   M0     -3.81    0.7     -999.0   -999.0   -999.0   ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   15.645   0.039    81    14.523   0.017    76   13.564   0.019    60    0.35     0.283    0.224    0.086    0.073    0.049    0.0        0.0        8.8E-23    -0.816   1.732    3.54     ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     12.385   0.026   11.645   0.022   11.449   0.023   AAA       000      0.14334     ""         ""              ""                 ""        ""           ""        ""           ""        ""           ""        ""           ""        ""           ""                     ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801m016_ac51-000042   80.8939003          -2.0477878            0.0394       0.0367        12          45        54      46         55350.118921   11.353   0.023       46.6    11.319   0.021       52.7    10.773   0.117       9.3     8.494    ""          1.7     AABU           0         110n      0.12898774413900171    440-009817   80.8939159   37          -2.0477973   38          2.5     3.3      2.0     3.6      17.235   0.11     15.594   0.01     16.37    0.15     15.086   0.01     14.273   0.05     0.0969884299769179     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  619     --                                                           ---   05:23:34.66   +00:51:22.5   80.8944196   0.8562389    HSP       73.0   M5     -13.0    0.3     0.912    1.194    2.106    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   17.652   0.007    49    16.419   0.017    36   14.554   0.023    86    0.342    0.159    0.256    0.064    0.042    0.036    2.62E-4    4.96E-14   0.634      1.569    0.689    0.676    20.59267   0.06420962   18.53016   0.0128169     17.08975   0.01000242    15.43155   0.00899939    14.51755   0.01268782    0.1010859724682031     12.888   0.022   12.304   0.023   12.03    0.021   AAA       000      0.120944    3503310    80.8944321436   0.856209657236     14.0066   0.00108383   13.457    0.00100378   12.8499   0.00177459   12.3368   0.00184222   12.061    0.00237286   0.11454824447506681    ""           ""            ""             ""              ""        ""           ""        ""           ""        ""           ""        ""           ""       ""        ""        ""          ""                    ""                     0801p015_ac51-000032   80.8944464          0.8561922             0.0404       0.0381        100         60        95      57         55344.740283   11.914   0.023       46.9    11.707   0.021       50.7    11.709   0.23        4.7     8.471    ""          1.2     AABU           0         00nn      0.1938314892746724     ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      1a       330  
  620     --                                                           ---   05:23:34.96   +01:23:19.7   80.8956758   1.3887966    HSP       72.0   M4     -4.29    0.24    1.203    1.743    2.946    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   19.29    0.008    8     18.284   0.053    47   16.565   0.035    116   0.465    0.278    0.26     0.138    0.056    0.037    0.491      0.722      1.0        -0.065   -0.199   -0.273   23.47121   0.5920728    20.16982   0.02105469    18.73504   0.01654363    17.38124   0.01504794    16.64239   0.01710214    0.1330843531093782     15.252   0.056   14.511   0.055   14.293   0.066   AAA       000      0.166539    3744417    80.8956413804   1.38877326982      16.2237   0.00312077   15.7184   0.00334542   15.2207   0.00393646   14.6686   0.00410471   14.4151   0.00871241   0.1496626236845447     80.8957217   1.3887786     ""             ""              14.138    0.011        999.0     999.0        14.142    0.095        999.0     999.0        ""       ""        ""        ""          ""                    0.17744649554930897    0801p015_ac51-024970   80.8956966          1.3887818             0.0645       0.0683        -136        157       -22     176        55340.922145   14.226   0.03        36.6    14.208   0.048       22.9    11.891   ""          1.0     9.021    ""          0.2     AAUU           0         00nn      0.09188296455377395    ""           ""           ""          ""           ""          ""      ""       ""      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       ""                     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
  621     2MASS_J05233664+0132241                                      Y*O   05:23:36.64   +01:32:24.2   80.90265     1.540053     HSP       71.0   M3     -4.43    0.21    1.007    1.435    2.442    ---       ---     -999.0    -999.0    -999.0   -999.0   -999.0    -999.0   -999.0   -999.0   -999.0   -999.0   0     -999.0   -999.0   0    -999.0   -999.0   0     -999.0   -999.0   -999.0   -999.0   -999.0   -999.0   -999.0     -999.0     -999.0     -999.0   -999.0   -999.0   ""         ""           ""         ""            ""         ""            ""         ""            ""         ""            ""                     13.123   0.034   12.456   0.025   12.251   0.021   AAA       000      0.19433     3741174    80.9027003903   1.54005458037      14.0445   0.00112186   13.5752   0.00109783   13.0859   0.00143478   12.5      0.00143884   12.2846   0.00272891   0.1814287794094801     80.9027603   1.5401399     ""             ""              12.065    0.004        12.061    0.005        12.053    0.015        12.005    0.023        ""       ""        ""        ""          ""                    0.5053983554439769     0801p015_ac51-024840   80.9027252          1.5400264             0.0435       0.0437        140         68        -5      73         55342.118376   12.102   0.024       45.0    12.012   0.024       46.0    11.774   ""          1.8     8.759    ""          -0.3    AAUU           0         01nn      0.28706507906344336    458-010376   80.9027798   68          1.5400098    68          -0.5    5.1      -3.1    5.2      ""       ""       ""       ""       ""       ""       ""       ""       ""       ""       0.4923203806618632     ""           ""         ""         ""        ""       ""       ""       ""         ""         ""        ""        ""       ""        ""                      ---        ---        0000-00-00                         0.0       W      25Ori    354  
